experiment,distance,rounds,loss_probability,decoder,status,shots,errors,logical_error_rate,ci95_low,ci95_high,median_microseconds_per_shot
loss_sweep,7,7,0.0001,envelope-matching-offline,ok,5000,0,0.0,0.0,0.0007677019450571244,43.4319084
loss_sweep,7,7,0.0003,envelope-matching,ok,5000,0,0.0,0.0,0.0007677019450571244,168.55535020000002
loss_sweep,7,7,0.0003,pymatching-fixed,ok,5000,0,0.0,0.0,0.0007677019450571244,21.233208415527013
loss_sweep,7,7,0.0003,pymatching-envelope,ok,5000,0,0.0,0.0,0.0007677019450571244,125.55519978118369
loss_sweep,7,7,0.0003,envelope-matching-offline,ok,5000,0,0.0,0.0,0.0007677019450571244,81.21441680000001
loss_sweep,7,7,0.001,envelope-matching,ok,5000,0,0.0,0.0,0.0007677019450571244,420.22970820000006
loss_sweep,7,7,0.001,pymatching-fixed,ok,5000,0,0.0,0.0,0.0007677019450571244,22.22602503384862
loss_sweep,7,7,0.001,pymatching-envelope,ok,5000,0,0.0,0.0,0.0007677019450571244,374.1796665982813
loss_sweep,7,7,0.001,envelope-matching-offline,ok,5000,0,0.0,0.0,0.0007677019450571244,233.6823416
loss_sweep,7,7,0.003,envelope-matching,ok,5000,0,0.0,0.0,0.0007677019450571244,515.0563752
loss_sweep,7,7,0.003,pymatching-fixed,ok,5000,3,0.0006,0.00020407465419434642,0.001762706048528709,24.884508211587143
loss_sweep,7,7,0.003,pymatching-envelope,ok,5000,0,0.0,0.0,0.0007677019450571244,523.9129668015676
loss_sweep,7,7,0.003,envelope-matching-offline,ok,5000,0,0.0,0.0,0.0007677019450571244,316.3907168
loss_sweep,7,7,0.01,envelope-matching,ok,5000,23,0.0046,0.003067252025343836,0.0068933870618187645,591.8169834
loss_sweep,7,7,0.01,pymatching-fixed,ok,5000,296,0.0592,0.05299073527956573,0.06608607075519665,36.60036702035923
loss_sweep,7,7,0.01,pymatching-envelope,ok,5000,23,0.0046,0.003067252025343836,0.0068933870618187645,612.5782668183255
loss_sweep,7,7,0.01,envelope-matching-offline,ok,5000,23,0.0046,0.003067252025343836,0.0068933870618187645,349.4829082
accuracy_time,3,2,0.003,envelope-matching,ok,5000,15,0.003,0.0018189297776376753,0.004944165955749107,1.7144918000000002
accuracy_time,3,2,0.003,pymatching-fixed,ok,5000,28,0.0056,0.003877382638215079,0.008081721045057406,1.5047750241049767
accuracy_time,3,2,0.003,pymatching-envelope,ok,5000,15,0.003,0.0018189297776376753,0.004944165955749107,2.8254664130908966
accuracy_time,3,2,0.003,envelope-matching-offline,ok,5000,15,0.003,0.0018189297776376753,0.004944165955749107,1.4629832
accuracy_time,3,2,0.003,envelope-mle,ok,5000,1,0.0002,3.530578343936526e-05,0.0011320890808397363,2083.456875
accuracy_time,3,2,0.003,pymatching-fixed-loop,ok,5000,28,0.0056,0.003877382638215079,0.008081721045057406,4.37330840396967
